feature,SHAP,CV,Features
gauss1,0.019713939045108778,Random-CV,C-C & gauss1
gauss1,0.006493168746753054,Pfam-CV,C-C & gauss1
gauss2,0.07454221045549375,Random-CV,C-C & gauss2
gauss2,0.052459316339873475,Pfam-CV,C-C & gauss2
hydrophobic,0.029582191360017163,Random-CV,C-C & hydrophobic
hydrophobic,0.012498135648873209,Pfam-CV,C-C & hydrophobic
C-C,-0.5868308880563307,Random-CV,single C-C
C-C,-0.5020644964258842,Pfam-CV,single C-C
N-C,0.06458305462104266,Random-CV,C-C & N-C
N-C,0.02742796466368822,Pfam-CV,C-C & N-C
O-C,0.03617275968463817,Random-CV,C-C & O-C
O-C,0.01219301807014422,Pfam-CV,C-C & O-C
S-C,0.017659970905039762,Random-CV,C-C & S-C
S-C,0.0032197895698888182,Pfam-CV,C-C & S-C
C-N,0.02518995794889809,Random-CV,C-C & C-N
C-N,0.010087252827424328,Pfam-CV,C-C & C-N
N-N,0.029566695809055726,Random-CV,C-C & N-N
N-N,0.020684111246498542,Pfam-CV,C-C & N-N
O-N,0.013672085287594655,Random-CV,C-C & O-N
O-N,0.012556510625736504,Pfam-CV,C-C & O-N
C-O,0.012726258355175523,Random-CV,C-C & C-O
C-O,0.007145266900843578,Pfam-CV,C-C & C-O
N-O,0.011992002426631601,Random-CV,C-C & N-O
N-O,0.001580195838194834,Pfam-CV,C-C & N-O
S-O,0.010194575679241423,Random-CV,C-C & S-O
S-O,-0.0024994794989483446,Pfam-CV,C-C & S-O
C-S,0.10478010163932394,Random-CV,C-C & C-S
C-S,0.047191864197925155,Pfam-CV,C-C & C-S
N-S,0.0384551881110386,Random-CV,C-C & N-S
N-S,-0.0029131084752312677,Pfam-CV,C-C & N-S
O-S,0.052035297574692205,Random-CV,C-C & O-S
O-S,0.013776409768190482,Pfam-CV,C-C & O-S
